impath,imdesc
/data/samplebooks/img/scaled/5444j.jpg,1
/data/samplebooks/img/scaled/2084g.jpg,2
/data/samplebooks/img/scaled/5520c.jpg,1
/data/samplebooks/img/scaled/5486f.jpg,1
/data/samplebooks/img/scaled/4786s.jpg,1
/data/samplebooks/img/scaled/1882g.jpg,1
/data/samplebooks/img/scaled/5545g.jpg,2
/data/samplebooks/img/scaled/5506f.jpg,1
/data/samplebooks/img/scaled/4793f.jpg,2
/data/samplebooks/img/scaled/5543j.jpg,1
/data/samplebooks/img/scaled/1880e.jpg,4
/data/samplebooks/img/scaled/76c.jpg,2
/data/samplebooks/img/scaled/693g.jpg,1
/data/samplebooks/img/scaled/4788oo.jpg,1
/data/samplebooks/img/scaled/2086h.jpg,1
/data/samplebooks/img/scaled/5498k.jpg,4
/data/samplebooks/img/scaled/5408g.jpg,2
/data/samplebooks/img/scaled/291b.jpg,2
/data/samplebooks/img/scaled/2968dd.jpg,2
/data/samplebooks/img/scaled/5532d.jpg,1
/data/samplebooks/img/scaled/5444k.jpg,2
/data/samplebooks/img/scaled/5486u.jpg,1
/data/samplebooks/img/scaled/5536d.jpg,1
/data/samplebooks/img/scaled/2075u.jpg,2
/data/samplebooks/img/scaled/5531k.jpg,1
/data/samplebooks/img/scaled/4788mm.jpg,1
/data/samplebooks/img/scaled/1697aa.jpg,2
/data/samplebooks/img/scaled/4784aa.jpg,6
/data/samplebooks/img/scaled/507c.jpg,1
/data/samplebooks/img/scaled/294o.jpg,2
/data/samplebooks/img/scaled/289d.jpg,1
/data/samplebooks/img/scaled/1022i.jpg,12
/data/samplebooks/img/scaled/1008u.jpg,2
/data/samplebooks/img/scaled/5539k.jpg,1
/data/samplebooks/img/scaled/2466a.jpg,1
/data/samplebooks/img/scaled/5501ddd.jpg,1
/data/samplebooks/img/scaled/5499r.jpg,2
/data/samplebooks/img/scaled/5524g.jpg,1
/data/samplebooks/img/scaled/5525k.jpg,1
/data/samplebooks/img/scaled/2084xx.jpg,1
/data/samplebooks/img/scaled/4913n.jpg,2
/data/samplebooks/img/scaled/5519e.jpg,1
/data/samplebooks/img/scaled/4885g.jpg,2
/data/samplebooks/img/scaled/2319ee.jpg,2
/data/samplebooks/img/scaled/5528nn.jpg,1
/data/samplebooks/img/scaled/5482m.jpg,1
/data/samplebooks/img/scaled/5490i.jpg,3
/data/samplebooks/img/scaled/904k.jpg,3
/data/samplebooks/img/scaled/5412i.jpg,1
/data/samplebooks/img/scaled/2631r.jpg,1
/data/samplebooks/img/scaled/5522n.jpg,1
/data/samplebooks/img/scaled/5539g.jpg,1
/data/samplebooks/img/scaled/904aa.jpg,2
/data/samplebooks/img/scaled/4143s.jpg,2
/data/samplebooks/img/scaled/5505g.jpg,1
/data/samplebooks/img/scaled/5499g.jpg,2
/data/samplebooks/img/scaled/5536a.jpg,1
/data/samplebooks/img/scaled/5464h.jpg,1
/data/samplebooks/img/scaled/5408a.jpg,1
/data/samplebooks/img/scaled/5205s.jpg,1
/data/samplebooks/img/scaled/5412j.jpg,1
/data/samplebooks/img/scaled/5464i.jpg,1
/data/samplebooks/img/scaled/5527o.jpg,1
/data/samplebooks/img/scaled/5512i.jpg,1
/data/samplebooks/img/scaled/1697ii.jpg,2
/data/samplebooks/img/scaled/5612i.jpg,2
/data/samplebooks/img/scaled/1006d.jpg,1
/data/samplebooks/img/scaled/5540a.jpg,1
/data/samplebooks/img/scaled/2087h.jpg,2
/data/samplebooks/img/scaled/294a.jpg,2
/data/samplebooks/img/scaled/5304q.jpg,1
/data/samplebooks/img/scaled/2077i.jpg,3
/data/samplebooks/img/scaled/5476f.jpg,2
/data/samplebooks/img/scaled/3191f.jpg,1
/data/samplebooks/img/scaled/4787r.jpg,1
/data/samplebooks/img/scaled/305i.jpg,1
/data/samplebooks/img/scaled/2142f.jpg,2
/data/samplebooks/img/scaled/1756h.jpg,1
/data/samplebooks/img/scaled/1882j.jpg,1
/data/samplebooks/img/scaled/4143d.jpg,2
/data/samplebooks/img/scaled/2643e.jpg,1
/data/samplebooks/img/scaled/5521t.jpg,1
/data/samplebooks/img/scaled/4881j.jpg,1
/data/samplebooks/img/scaled/285p.jpg,2
/data/samplebooks/img/scaled/2563i.jpg,1
/data/samplebooks/img/scaled/5500j.jpg,2
/data/samplebooks/img/scaled/5170g.jpg,1
/data/samplebooks/img/scaled/2084ss.jpg,1
/data/samplebooks/img/scaled/5473t.jpg,2
/data/samplebooks/img/scaled/3214p.jpg,2
/data/samplebooks/img/scaled/2631o.jpg,1
/data/samplebooks/img/scaled/305h.jpg,1
/data/samplebooks/img/scaled/5202f.jpg,1
/data/samplebooks/img/scaled/876k.jpg,1
/data/samplebooks/img/scaled/1008p.jpg,3
/data/samplebooks/img/scaled/4912i.jpg,1
/data/samplebooks/img/scaled/901r.jpg,1
/data/samplebooks/img/scaled/904w.jpg,2
/data/samplebooks/img/scaled/2075t.jpg,2
/data/samplebooks/img/scaled/5473r.jpg,2
/data/samplebooks/img/scaled/298g.jpg,2
/data/samplebooks/img/scaled/2641b.jpg,1
/data/samplebooks/img/scaled/305j.jpg,1
/data/samplebooks/img/scaled/5441.jpg,1
/data/samplebooks/img/scaled/5407q.jpg,2
/data/samplebooks/img/scaled/5521qq.jpg,1
/data/samplebooks/img/scaled/1696k.jpg,3
/data/samplebooks/img/scaled/17i.jpg,2
/data/samplebooks/img/scaled/5301f.jpg,1
/data/samplebooks/img/scaled/5205gg.jpg,1
/data/samplebooks/img/scaled/5517k.jpg,1
/data/samplebooks/img/scaled/905e.jpg,4
/data/samplebooks/img/scaled/5021c.jpg,1
/data/samplebooks/img/scaled/2073aa.jpg,1
/data/samplebooks/img/scaled/903h.jpg,2
/data/samplebooks/img/scaled/4911j.jpg,1
/data/samplebooks/img/scaled/5301a.jpg,1
/data/samplebooks/img/scaled/2609j.jpg,2
/data/samplebooks/img/scaled/2083q.jpg,1
/data/samplebooks/img/scaled/3193p.jpg,1
/data/samplebooks/img/scaled/286t.jpg,1
/data/samplebooks/img/scaled/902h.jpg,2
/data/samplebooks/img/scaled/5501uu.jpg,1
/data/samplebooks/img/scaled/2084i.jpg,1
/data/samplebooks/img/scaled/4788kk.jpg,1
/data/samplebooks/img/scaled/4790e.jpg,5
/data/samplebooks/img/scaled/298a.jpg,1
/data/samplebooks/img/scaled/872b.jpg,2
/data/samplebooks/img/scaled/5436d.jpg,7
/data/samplebooks/img/scaled/5539q.jpg,1
/data/samplebooks/img/scaled/1881b.jpg,3
