id,image_path,selected_model,other_model,timestamp
1,4786a.jpg,claude-3-5-sonnet-20241022,allenai/Molmo-72B-0924,2024-11-01 03:37:17.521593
2,3192h.jpg,Qwen/Qwen2-VL-72B-Instruct,nvidia/NVLM-D-72B,2024-11-01 03:37:51.486779
3,904x.jpg,llama-v3p2-90b-vision-instruct,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 03:43:22.719968
4,2085b.jpg,gpt-4o-2024-08-06,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 03:43:44.587928
5,2078i.jpg,claude-3-5-sonnet-20241022,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 03:45:15.446009
6,286t.jpg,OpenGVLab/InternVL2-Llama3-76B,allenai/Molmo-72B-0924,2024-11-01 03:46:32.337438
7,4911d.jpg,allenai/Molmo-72B-0924,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 03:47:24.831735
8,2077q.jpg,gpt-4o-2024-08-06,rhymes-ai/Aria,2024-11-01 04:14:00.722984
9,4782c.jpg,gpt-4o-2024-08-06,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 04:14:32.612504
10,2073cc.jpg,gpt-4o-2024-08-06,Qwen/Qwen2-VL-72B-Instruct,2024-11-01 04:16:28.884914
11,287g.jpg,Qwen/Qwen2-VL-72B-Instruct,llama-v3p2-90b-vision-instruct,2024-11-01 04:17:58.288677
12,2077q.jpg,llama-v3p2-90b-vision-instruct,lmms-lab/llava-onevision-qwen2-72b-ov,2024-11-01 04:18:18.363956
13,2086d.jpg,gemini-1.5-pro,llama-v3p2-90b-vision-instruct,2024-11-01 04:19:40.863471
14,287g.jpg,claude-3-5-sonnet-20241022,rhymes-ai/Aria,2024-11-01 04:19:58.626175
15,4793a.jpg,allenai/Molmo-72B-0924,gemini-1.5-pro,2024-11-01 04:20:20.658132
16,4782c.jpg,claude-3-5-sonnet-20241022,allenai/Molmo-72B-0924,2024-11-01 04:20:44.957046
17,4782c.jpg,llama-v3p2-90b-vision-instruct,Qwen/Qwen2-VL-72B-Instruct,2024-11-01 04:21:09.807128
18,17l.jpg,rhymes-ai/Aria,allenai/Molmo-72B-0924,2024-11-01 04:21:48.962514
19,4783v.jpg,gpt-4o-2024-08-06,OpenGVLab/InternVL2-Llama3-76B,2024-11-01 04:23:02.499539
20,4793a.jpg,rhymes-ai/Aria,claude-3-5-sonnet-20241022,2024-11-01 04:28:59.617026
